scope,residual_model,N,resid_mean,resid_std,resid_vs_LD_R2,resid_vs_x_R2,resid_vs_G_R2
A_G<=4200_all,resid_after_Tsub2,117,-3.276533840067893e-14,0.23422701971435167,0.02436805226821943,0.3918476985917447,0.04370811285652897
A_G<=4200_all,resid_after_Tsub2_x,117,2.9468858502510503e-12,0.13514712907340962,0.03091943876266667,1.1246933977323274e-22,0.010224353007907742
B_G<=4200_LD>=40,resid_after_Tsub2,113,-1.4754274498317202e-13,0.15168725323667973,0.017200783597710104,0.3864274986965185,0.12119853720410767
B_G<=4200_LD>=40,resid_after_Tsub2_x,113,2.539064337345703e-12,0.07835403590519162,0.06005802385501923,3.245156505777005e-22,0.0020373706935173995
C_B_plus_x>-0.20,resid_after_Tsub2,103,-1.004498533974323e-13,0.10992546397624686,0.00603415827206572,0.22029156030928224,0.0682017074781503
C_B_plus_x>-0.20,resid_after_Tsub2_x,103,3.379560385586596e-12,0.08073419368890222,0.053918424879141315,5.248543605745073e-22,2.63228407714388e-05
D_old86like_window_lowX,resid_after_Tsub2,47,-3.1308289294429414e-14,0.11692774479845591,0.3917380793972327,0.13038177114674895,0.06658134760023525
D_old86like_window_lowX,resid_after_Tsub2_x,47,1.907930078701572e-14,0.043655516995813964,0.000280218008233841,1.6860116011115337e-26,3.0257807824903052e-05
Excluded_G>4200,resid_after_Tsub2,70,-1.2815066468314334e-13,0.4129478472044685,0.5125942393476819,0.14620387316029437,0.020185086061348903
Excluded_G>4200,resid_after_Tsub2_x,70,-2.211722868342544e-14,0.2049694870570815,0.0703332373051229,5.080974633578732e-29,0.11032395334442661
Excluded_G<=4200_LD<40,resid_after_Tsub2,4,-1.031952301389083e-13,0.29293664760269905,,0.07404525000916493,0.9804510260721216
Excluded_G<=4200_LD<40,resid_after_Tsub2_x,4,1.1102230246251565e-15,3.586690565394741e-14,,0.6281079938537406,0.014187520732809024
