x_band,LD_band,N,PM_mean,PM_sd,Tsub_mean,LD_mean,x_mean,resid_sat_mean,resid_satLD_mean,old86_count,highPM_count
-0.10<x<=0,40<=LD<70,27,1.231709139811808,0.1460936646089042,90.85683900628412,65.55114714507505,-0.04733333333333333,0.00458284965474139,-0.0065054567803811405,18,0
-0.10<x<=0,70<=LD<80,3,1.2559655552476154,0.11579330216734715,107.36194102744442,75.98039215686273,-0.01933333333333333,-0.11587056912445644,-0.09635814211142797,0,0
-0.10<x<=0,80<=LD<120,22,1.3321118860083865,0.14716694469820882,120.81271174684247,82.6226870474658,-0.041545454545454545,-0.0771150734114745,-0.05380001471238429,12,0
-0.10<x<=0,LD>=120,9,1.6292562234291144,0.02673918520441939,310.75224221365585,365.33333333333326,-0.06266666666666666,-0.18903560964234484,0.061241126825539775,0,0
-0.20<x<=-0.10,40<=LD<70,13,1.6447743679594982,0.09437075493015752,142.6370790090811,66.30750653521054,-0.14546153846153848,0.1002781247184701,0.03497811360490503,6,0
-0.20<x<=-0.10,80<=LD<120,6,1.717524346592478,0.025879721506757956,266.4726184737321,108.84955752212387,-0.13283333333333333,-0.08229870076694497,-0.15933899047839425,0,0
0<x<=0.05,40<=LD<70,5,0.6509432914491147,0.4947346231889068,48.638809077694624,65.92684434477606,0.0392,0.011277389377354946,-0.03542311696471661,1,0
0<x<=0.05,70<=LD<80,16,0.8481898546852253,0.27048702396202456,65.79718684894385,75.98039215686273,0.029375000000000002,-0.06680385678236792,-0.0434467207217703,4,0
0<x<=0.05,80<=LD<120,2,1.0906641728863509,0.13063652748584614,80.70089313246166,94.42477876106193,0.001,-0.053436876289147506,0.04863966994871838,1,0
x<=-0.20,40<=LD<70,10,2.1049833617412057,0.19198787716768828,211.765721707752,66.61204071071245,-0.3127,0.3931251956494153,0.23734541737703446,5,2
