dataset,N,PM_mean,PM_sd,PM_min,PM_max,Tsub_min,Tsub_max,x_min,x_max,G_kg_min,G_kg_max,frac_x_le_005
current187_noF1_x<=0.05_allG,187,1.3935848969264444,0.6391883038117517,0.0735487784385007,3.6053610399898135,20.88259301344499,313.18434543454475,-0.459,0.05,520.79232,10565.0317,1.0
current117_noF1_x<=0.05_G<=4200,117,1.372589871178788,0.4428662342784811,0.1135786841963328,2.721081299499212,21.424642698647403,313.18434543454475,-0.457,0.049,520.79232,4163.626099999999,1.0
current70_noF1_x<=0.05_G>4200,70,1.4286765828189563,0.8772780972918671,0.0735487784385007,3.6053610399898135,20.88259301344499,256.20145638583585,-0.459,0.05,4204.313,10565.0317,1.0
current47_overlap_old86_noF1,47,1.2866838914444743,0.4238468020960428,0.435151931201948,2.4704383105441856,33.60109799971622,250.73285002387016,-0.457,0.049,2441.214,4068.69,1.0
current140_not_old86_noF1,140,1.429473091623963,0.6943312618049104,0.0735487784385007,3.6053610399898135,20.88259301344499,313.18434543454475,-0.459,0.05,520.79232,10565.0317,1.0
old86_noF1_all,86,0.6054104523866708,0.28914602827446034,0.136490246897863,1.16081559158642,5.85325176878905,251.090091834417,-0.457,0.137,2440.8,4068.0,0.5465116279069767
old86_noF1_x<=0.05,47,0.8391693653054431,0.14947944624001197,0.526675909158106,1.16081559158642,33.848400181536,251.090091834417,-0.457,0.049,2440.8,4068.0,1.0
old86_noF1_x>0.05,39,0.3237009932281501,0.10454815341449344,0.136490246897863,0.564871426632673,5.85325176878905,47.7012082859781,0.052,0.137,2752.68,4068.0,0.0
old86_F1_all,86,0.9856857208275311,0.10225792037866228,0.716442256352328,1.20830006084716,5.85325176878905,251.090091834417,-0.457,0.137,2440.8,4068.0,0.5465116279069767
old86_F1_x<=0.05,47,1.0467595363999507,0.07180460327731314,0.901178259151924,1.20830006084716,33.848400181536,251.090091834417,-0.457,0.049,2440.8,4068.0,1.0
old86_F1_x>0.05,39,0.9120839430864098,0.08351873175782105,0.716442256352328,1.07109227702067,5.85325176878905,47.7012082859781,0.052,0.137,2752.68,4068.0,0.0
