H8_selection,Length_in,L_over_D,N,PM_mean,PM_min,PM_max,highPM_N,deep_N,old86_overlap_N,x_min,x_max,G_min,G_max
A_deep_highG_PWR_out_candidate,3.0,20.97902097902098,3,2.963650693869931,2.4234011937527216,3.6053610399898135,3,3,0,-0.409,-0.257,5180.7986,10144.6004
A_deep_highG_PWR_out_candidate,12.0,64.51612903225806,1,1.8285357968013456,1.8285357968013456,1.8285357968013456,0,1,0,-0.227,-0.227,5696.166,5696.166
A_deep_highG_PWR_out_candidate,12.5,66.84491978609626,17,2.2937682719166825,1.588015902634939,2.941271632824189,13,17,0,-0.459,-0.202,4773.9296,10524.3448
A_deep_highG_PWR_out_candidate,24.6,108.8495575221239,8,2.1842896210695777,1.6226707342925482,2.4936701195505564,6,8,0,-0.449,-0.214,5262.1724,10497.2202
B_deep_Gle4200_keep_separate,3.0,20.97902097902098,2,2.661245203635545,2.601409107771878,2.721081299499212,2,2,0,-0.338,-0.256,2305.591,2712.46
B_deep_Gle4200_keep_separate,12.0,64.51612903225806,1,1.784314835756727,1.784314835756727,1.784314835756727,0,1,0,-0.202,-0.202,4109.3769,4109.3769
B_deep_Gle4200_keep_separate,12.5,66.84491978609626,9,2.1406131979617036,1.84831057414112,2.4704383105441856,2,9,5,-0.457,-0.216,1213.82585,3783.8817
C_not_deep_highG_PWR_out_candidate,3.0,20.97902097902098,2,0.6408641509185538,0.3076875001880512,0.9740408016490564,0,0,0,-0.134,-0.012,5153.674,7716.948700000001
C_not_deep_highG_PWR_out_candidate,11.625,64.58333333333334,7,0.2708373937253171,0.094301763279964,0.4000200504385095,0,0,0,0.012,0.05,4204.313,4977.3641
C_not_deep_highG_PWR_out_candidate,12.0,64.51612903225806,1,1.1333409354693746,1.1333409354693746,1.1333409354693746,0,0,0,-0.075,-0.075,4773.9296,4773.9296
C_not_deep_highG_PWR_out_candidate,12.5,66.84491978609626,19,0.8359430079567453,0.0735487784385007,1.70216312799015,0,0,0,-0.189,0.039,4258.5622,8923.9934
C_not_deep_highG_PWR_out_candidate,24.6,108.8495575221239,12,1.0521372652678098,0.4607314733227002,1.5953398033128676,0,0,0,-0.163,0.029,5207.9232,10565.0317
D_not_deep_Gle4200_main_candidate,3.0,20.97902097902098,2,1.2662923092583096,0.8118979825986368,1.7206866359179822,0,0,0,-0.146,-0.047,2102.1565,2427.6517
D_not_deep_Gle4200_main_candidate,6.0,80.0,21,1.2917411322426477,0.9982901984304464,1.4935344285189145,0,0,13,-0.075,0.001,2197.0926,3919.5047
D_not_deep_Gle4200_main_candidate,11.625,64.58333333333334,1,0.1173350424102666,0.1173350424102666,0.1173350424102666,0,0,0,0.048,0.048,4136.501499999999,4136.501499999999
D_not_deep_Gle4200_main_candidate,12.0,64.51612903225806,19,1.1923331727274795,0.1135786841963328,1.7657520451572235,0,0,14,-0.191,0.043,1301.9808,4163.626099999999
D_not_deep_Gle4200_main_candidate,12.5,66.84491978609626,25,1.4048505876562196,0.8841447681755321,1.853006511199896,0,0,11,-0.189,0.049,520.79232,3607.5718
D_not_deep_Gle4200_main_candidate,23.25,75.98039215686275,19,0.912575491616129,0.435151931201948,1.3873729587911223,0,0,4,-0.032,0.049,1193.4824,3051.5175
D_not_deep_Gle4200_main_candidate,24.6,108.8495575221239,9,1.6295969044907186,1.1830381473422555,1.7542552525649588,0,0,0,-0.153,0.001,1301.9808,1315.5431
D_not_deep_Gle4200_main_candidate,27.4,365.3333333333333,9,1.6292562234291144,1.599512232471623,1.68347241906529,0,0,0,-0.083,-0.045,2264.9041,3933.067
