x_band2,G_band2,LD_band2,N,G_mean,G_min,G_max,LD_mean,Hsub_mean,Hsub_min,Hsub_max,qM_mean,qM_min,qM_max,x_mean,x_min,x_max
-0.10<x<=0,1900<=G<=4200,40<=LD<60,17,2208.388175840969,1979.4942045638445,2711.635896662801,48.66574828869258,349.1052352941177,212.829,514.046,3.2870835615000003,2.5236726000000003,4.54261068,-0.053647058823529416,-0.099,-0.008
-0.10<x<=0,G<1900,40<=LD<60,20,1098.4837017381008,349.8010306695013,1735.4469738641926,49.351158860453886,656.0483,272.142,1397.926,2.9031698672250004,2.2050589342499998,3.6277793624999997,-0.0448,-0.082,-0.004
-0.20<x<=-0.10,1900<=G<=4200,40<=LD<60,7,2270.0266220634303,1952.3778455972165,2643.8449992462306,54.08877698834242,578.5094285714287,453.57,695.474,4.425440166428571,3.5962334549999997,5.362804275,-0.14285714285714285,-0.186,-0.1
-0.20<x<=-0.10,G<1900,40<=LD<60,22,1133.5254328936114,665.7066126307176,1667.6560764476226,52.691936262675036,890.1179090909092,469.85200000000003,1314.19,3.5348623258636365,2.8296679027500002,4.479518865,-0.15613636363636363,-0.199,-0.113
0<x<=0.05,1900<=G<=4200,40<=LD<60,9,2276.2676888097176,1952.3778455972165,2657.403178729545,51.24336069531627,211.5367777777778,143.049,290.75,2.5846613545,2.01578348925,3.15459075,0.020777777777777777,0.004,0.032
0<x<=0.05,G<1900,40<=LD<60,15,1105.7147307958683,345.7335768245071,1681.2142559309366,53.23515210043457,558.1624666666667,169.798,1186.26,2.5114748491,1.8485901795,3.07572598125,0.023466666666666667,0.001,0.048
x<=-0.20,1900<=G<=4200,40<=LD<60,7,2022.1056257971172,1925.2614866305885,2101.517819913671,46.40615299717183,792.1691428571429,551.2620000000001,1195.564,4.1640597900000005,3.2807743800000004,5.1419829224999996,-0.37014285714285716,-0.82,-0.213
x<=-0.20,G<1900,40<=LD<60,20,1198.8142299146243,687.39969980402,1667.6560764476226,51.143771125060354,1063.7961,679.192,1383.97,4.212955946625,3.4700498250000003,5.3312583675,-0.28585,-0.493,-0.221
x>0.05,1900<=G<=4200,40<=LD<60,8,2294.721877550895,1952.3778455972165,2657.403178729545,56.969760985031385,107.722875,39.542,200.036,1.9503257311875,1.51420356,2.27130534,0.08125,0.06,0.129
x>0.05,G<1900,40<=LD<60,107,658.3573190790147,170.83306148975646,1898.1451276639605,47.31562250391476,357.2475140186916,0.0,1221.15,1.5379956603294394,0.8170390042500001,2.7066388635,0.2938130841121495,0.053,0.72
